country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,BA.2+L452X,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,BA.3,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,BA.4,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,BA.5,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,Other,8,8.0,100.0
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,UNK,0,,
Austria,AT,2020-09,GISAID,12,8,66.7,Yes,XD,0,8.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,B.1.617.2,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.1,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.2,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.2+L452X,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.3,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.4,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,BA.5,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,Other,58,58.0,100.0
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,UNK,0,,
Austria,AT,2020-10,GISAID,114,58,50.9,Yes,XD,0,58.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,B.1.617.2,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.1,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.2,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.2+L452X,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.3,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.4,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,BA.5,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,Other,119,119.0,100.0
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,UNK,0,,
Austria,AT,2020-11,GISAID,874,119,13.6,Yes,XD,0,119.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,B.1.617.2,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.1,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.2,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.2+L452X,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.3,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.4,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,BA.5,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,Other,136,136.0,100.0
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,UNK,0,,
Austria,AT,2020-12,GISAID,3068,136,4.4,Yes,XD,0,136.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,B.1.617.2,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.1,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.2,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.2+L452X,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.3,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.4,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,BA.5,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,Other,161,161.0,100.0
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,UNK,0,,
Austria,AT,2020-13,GISAID,5128,161,3.1,Yes,XD,0,161.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,B.1.617.2,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.1,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.2,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.2+L452X,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.3,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.4,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,BA.5,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,Other,109,109.0,100.0
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,UNK,0,,
Austria,AT,2020-14,GISAID,3116,109,3.5,Yes,XD,0,109.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,B.1.617.2,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.1,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.2,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.2+L452X,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.3,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.4,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,BA.5,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,Other,56,56.0,100.0
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,UNK,0,,
Austria,AT,2020-15,GISAID,1838,56,3.0,Yes,XD,0,56.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,B.1.617.2,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.1,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.2,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.2+L452X,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.3,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.4,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,BA.5,0,43.0,0.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,Other,43,43.0,100.0
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,UNK,0,,
Austria,AT,2020-16,GISAID,684,43,6.3,Yes,XD,0,43.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,B.1.617.2,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.1,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.2,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.2+L452X,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.3,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.4,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,BA.5,0,27.0,0.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,Other,27,27.0,100.0
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,UNK,0,,
Austria,AT,2020-17,GISAID,448,27,6.0,Yes,XD,0,27.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,B.1.617.2,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.1,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.2,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.2+L452X,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.3,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.4,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,BA.5,0,22.0,0.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,Other,22,22.0,100.0
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,UNK,0,,
Austria,AT,2020-18,GISAID,312,22,7.1,Yes,XD,0,22.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,B.1.617.2,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.1,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.2,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.2+L452X,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.3,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.4,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,BA.5,0,18.0,0.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,Other,18,18.0,100.0
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,UNK,0,,
Austria,AT,2020-19,GISAID,264,18,6.8,Yes,XD,0,18.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,B.1.617.2,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.1,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.2,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.2+L452X,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.3,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.4,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,BA.5,0,31.0,0.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,Other,31,31.0,100.0
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,UNK,0,,
Austria,AT,2020-20,GISAID,335,31,9.3,Yes,XD,0,31.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,B.1.617.2,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.1,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.2,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.2+L452X,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.3,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.4,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,BA.5,0,14.0,0.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,Other,14,14.0,100.0
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,UNK,0,,
Austria,AT,2020-21,GISAID,265,14,5.3,Yes,XD,0,14.0,0.0
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.1,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.2,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.3,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.4,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,BA.5,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,Other,0,0.0,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,UNK,0,,
Austria,AT,2020-22,GISAID,195,0,0.0,Yes,XD,0,0.0,
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,B.1.617.2,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.1,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.2,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.2+L452X,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.3,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.4,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,BA.5,0,7.0,0.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,Other,7,7.0,100.0
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,UNK,0,,
Austria,AT,2020-23,GISAID,227,7,3.1,Yes,XD,0,7.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,B.1.617.2,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.1,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.2,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.2+L452X,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.3,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.4,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,BA.5,0,3.0,0.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,Other,3,3.0,100.0
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,UNK,0,,
Austria,AT,2020-24,GISAID,172,3,1.7,Yes,XD,0,3.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,B.1.617.2,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.1,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.2,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.2+L452X,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.3,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.4,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,BA.5,0,4.0,0.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,Other,4,4.0,100.0
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,UNK,0,,
Austria,AT,2020-25,GISAID,248,4,1.6,Yes,XD,0,4.0,0.0
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.1,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.2,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.3,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.4,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,BA.5,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,Other,0,0.0,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,UNK,1,,
Austria,AT,2020-26,GISAID,335,1,0.3,Yes,XD,0,0.0,
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,B.1.617.2,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.1,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.2,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.2+L452X,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.3,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.4,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,BA.5,0,2.0,0.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,Other,2,2.0,100.0
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,UNK,0,,
Austria,AT,2020-27,GISAID,640,2,0.3,Yes,XD,0,2.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,B.1.617.2,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.1,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.2,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.2+L452X,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.3,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.4,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,BA.5,0,4.0,0.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,Other,4,4.0,100.0
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,UNK,0,,
Austria,AT,2020-28,GISAID,596,4,0.7,Yes,XD,0,4.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,B.1.617.2,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.1,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.2,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.2+L452X,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.3,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.4,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,BA.5,0,10.0,0.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,Other,10,10.0,100.0
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,UNK,0,,
Austria,AT,2020-29,GISAID,784,10,1.3,Yes,XD,0,10.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,B.1.617.2,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.1,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.2,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.2+L452X,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.3,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.4,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,BA.5,0,9.0,0.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,Other,9,9.0,100.0
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,UNK,0,,
Austria,AT,2020-30,GISAID,872,9,1.0,Yes,XD,0,9.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,B.1.617.2,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.1,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.2,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.2+L452X,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.3,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.4,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,BA.5,0,3.0,0.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,Other,3,3.0,100.0
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,UNK,0,,
Austria,AT,2020-31,GISAID,794,3,0.4,Yes,XD,0,3.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,B.1.617.2,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.1,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.2,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.2+L452X,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.3,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.4,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,BA.5,0,10.0,0.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,Other,10,10.0,100.0
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,UNK,0,,
Austria,AT,2020-32,GISAID,722,10,1.4,Yes,XD,0,10.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,B.1.617.2,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.1,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.2,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.2+L452X,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.3,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.4,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,BA.5,0,12.0,0.0
Austria,AT,2020-33,GISAID,1462,12,0.8,Yes,Other,12,12.0,100.0
